train_start,train_end,test_start,test_end,L,Ein,Eout,beta,train_sharpe,adf_p
2018-01-03,2020-01-03,2020-01-06,2020-04-03,60.0,1.8,0.7,0.7951691886480944,1.07477000268849,0.0034668940446592324
2018-04-05,2020-04-03,2020-04-06,2020-07-06,40.0,1.6,0.9,0.805200273866284,1.3252528399393526,0.008535264513276923
2018-07-05,2020-07-06,2020-07-07,2020-10-02,60.0,2.0,0.7,0.8012632099836179,1.7150393035689195,0.0016348141809239501
2018-10-03,2020-10-02,2020-10-05,2021-01-04,50.0,1.6,0.7,0.7814464408421793,1.2462647273729994,0.011521100869010639
2019-01-04,2021-01-04,2021-01-05,2021-04-06,70.0,2.0,0.9,0.7927719048115441,1.6459613701843974,0.0023647589047821843
2019-04-05,2021-04-06,2021-04-07,2021-07-06,70.0,1.8,0.7,0.7536630894368899,1.7689860915415931,0.00607901408992837
2019-07-08,2021-07-06,2021-07-07,2021-10-04,,,,0.7814835701241541,,0.3562440592217546
2019-10-04,2021-10-04,2021-10-05,2022-01-03,,,,0.8445795169506451,,0.378331679939804
2020-01-06,2022-01-03,2022-01-04,2022-04-04,,,,0.8456893047562744,,0.1498425755410045
2020-04-06,2022-04-04,2022-04-05,2022-07-06,,,,0.8280060692157164,,0.2240024318498265
2020-07-07,2022-07-06,2022-07-07,2022-10-04,,,,0.8984803508174951,,0.13861175145750804
2020-10-05,2022-10-04,2022-10-05,2023-01-04,,,,0.9232086272323541,,0.1305198815354961
2021-01-05,2023-01-04,2023-01-05,2023-04-05,,,,0.9201272335660041,,0.11170564479622108
2021-04-07,2023-04-05,2023-04-06,2023-07-07,70.0,1.6,0.5,0.9314014919602367,1.066725060498957,0.052044899436553625
2021-07-07,2023-07-07,2023-07-10,2023-10-05,70.0,1.8,0.5,0.9211302459216291,1.11645478084851,0.05740086231393409
2021-10-05,2023-10-05,2023-10-06,2024-01-05,70.0,1.6,0.5,0.8589281027266911,1.6887575030713573,0.0004271819573965922
2022-01-04,2024-01-05,2024-01-08,2024-04-08,70.0,1.8,0.5,0.9168890398759975,1.862921889295794,0.006407053459061705
2022-04-05,2024-04-08,2024-04-09,2024-07-09,70.0,1.8,0.5,0.9278614326262709,0.9843471972623887,0.027506775859046647
2022-07-07,2024-07-09,2024-07-10,2024-10-07,70.0,2.0,0.5,0.9201219204738816,1.5862035804122838,0.01122521010373372
